ID	x1	y1	z1	x2	y2	z2	x4	y4	z4	x5	y5	z5	x6	y6	z6	x8	y8	z8
2005.27.152.CV1	-64.4660	-14.5646	333.6047	-59.6632	-17.1617	329.5509	-64.6010	-15.5036	329.2636	-62.2968	-7.9588	331.2112	-57.6470	-10.8615	327.2659	-62.1673	-9.6753	327.1232
686_19	-85.3583	-3.0526	344.4688	-84.4379	-7.5262	341.6902	-82.6454	-4.4603	342.5817	-86.5505	-0.4296	340.3421	-86.0002	-4.9757	337.5255	-88.9731	-3.2964	339.5772
686_20	-85.3386	-1.4898	340.8342	-85.7277	-6.7385	339.6998	-83.3032	-4.0027	338.9195	-87.6276	-0.1316	336.4165	-88.0195	-5.3958	335.3088	-90.1915	-2.6868	337.1290
686_21	-84.4403	-6.2923	341.0187	-84.8590	-10.6272	338.1483	-82.2954	-7.9652	338.5700	-86.7300	-3.3779	337.3612	-87.0539	-7.9152	334.4198	-89.1519	-5.9633	337.1026
686_22	-85.0298	-12.7956	340.9026	-85.8389	-16.7911	336.7725	-83.0439	-14.2025	337.7678	-87.1637	-8.9579	337.3889	-87.5873	-13.1952	333.4737	-89.6360	-11.6670	336.4413
686_23	-88.4196	-15.2865	333.3300	-87.9260	-10.5413	336.0739	-90.7626	-12.9208	335.1037	-89.4612	-12.7196	328.7155	-88.7423	-7.7304	331.6618	-86.6695	-10.3704	329.6335
686_24	-82.8332	-13.5111	338.1837	-82.8076	-7.8769	339.4608	-85.3408	-10.9892	339.6083	-84.6881	-12.3462	333.4637	-84.5805	-6.9969	334.9150	-82.2824	-9.6521	333.2495
686_25	-80.2337	-10.9958	343.7228	-80.9349	-5.7196	345.1435	-82.7452	-8.7336	344.1617	-79.8616	-10.0115	338.8329	-80.7214	-4.7378	340.2466	-77.8872	-7.2273	339.6611
686_26	-88.6850	-14.1809	339.7441	-88.7522	-9.0321	341.7094	-91.0562	-11.8715	340.6393	-88.9898	-12.2936	334.7513	-89.0259	-7.3325	337.0255	-86.7226	-10.0781	335.8984
686_27	-85.4248	-7.4325	346.8193	-85.1239	-2.0574	347.4751	-87.5288	-4.7534	346.8779	-85.0323	-6.9866	341.7639	-84.7935	-1.7895	342.5327	-82.4268	-4.6246	342.3140
686_28	-85.9730	-10.9157	342.1837	-86.3257	-5.9776	343.9593	-88.5577	-8.4466	342.4773	-85.2248	-9.3410	337.5398	-85.5456	-4.5947	338.9355	-83.0522	-7.0149	338.8388
686_29	-86.7829	-7.5695	341.1278	-86.9671	-2.7619	342.8127	-89.2060	-5.2888	341.9661	-86.9415	-6.0893	336.5695	-86.7939	-1.3931	338.4110	-84.4972	-3.9550	337.5746
686_30	-81.0593	-5.9869	347.3360	-81.1352	-1.1915	349.0937	-83.2350	-3.9010	348.5279	-81.9311	-4.6431	342.9792	-81.9233	-0.1274	344.6744	-79.5814	-2.5516	343.6060
686_31	-81.9714	-4.5115	349.4070	-81.4102	-8.5962	346.7057	-79.6289	-6.4839	348.3696	-81.8091	-2.0250	345.9644	-81.2891	-6.0657	343.5563	-83.8760	-4.0206	345.0039
686_32	-81.7905	-6.7415	339.6325	-80.6860	-2.5778	341.8481	-83.4670	-4.9000	341.7905	-83.5925	-4.2774	336.6661	-82.5739	-0.4915	338.8798	-80.9866	-2.5001	336.7958
686_33	-84.8347	-6.1725	339.3549	-84.6953	-9.5843	336.6620	-82.5385	-7.7795	338.1814	-85.0269	-3.7625	336.5456	-84.9638	-7.2225	333.8526	-87.0681	-5.7036	335.3043
696_19	-77.7329	-15.8591	326.3860	-77.7669	-11.3518	326.2031	-75.5752	-13.9734	326.3015	-77.9042	-15.7935	331.6369	-77.8562	-11.1858	331.3787	-80.2500	-13.4727	331.4585
696_20	-76.9448	-14.9649	330.7125	-77.9231	-14.9002	326.5043	-75.7826	-13.3172	328.3341	-80.1300	-11.2840	331.6696	-81.2508	-11.2159	327.3254	-82.3390	-12.8256	329.8778
696_22	-80.7593	8.5973	317.4371	-80.6482	4.3591	315.5720	-82.9199	6.3608	316.8538	-80.3168	6.4357	322.4802	-79.8478	2.3212	320.1751	-77.7848	4.6532	321.2070
696_23	-72.6365	-13.1319	327.2574	-72.1884	-8.7097	329.4543	-73.8068	-10.0587	326.9503	-68.6629	-12.0228	324.0340	-68.2673	-7.8060	326.3295	-67.0438	-10.9920	326.8065
696_24	-89.2947	-8.9919	338.3804	-87.1915	-5.0533	336.7596	-89.0168	-7.4381	335.4514	-85.0397	-11.9760	336.9637	-83.1748	-7.8987	335.3078	-83.1114	-9.5513	338.2837
696_25	-79.4722	-7.8398	337.8744	-79.1143	-12.5240	338.6155	-81.1945	-10.1687	337.8557	-79.6396	-6.4223	342.7238	-79.3801	-10.9723	343.5772	-77.3652	-8.5184	343.4830
696_26	-86.2027	-11.1834	344.9319	-85.1686	-6.7425	346.1627	-87.9681	-8.7783	345.9057	-87.2348	-9.8469	339.8703	-86.3156	-5.5296	341.3530	-84.6615	-8.0716	340.0087
696_27	-88.6316	-3.8712	352.2926	-89.7082	-8.1533	350.9991	-86.8273	-6.4262	352.0777	-87.7709	-2.4256	347.8300	-88.7798	-6.5955	346.4545	-90.2183	-3.7827	346.9515
696_28	-85.6012	-2.9221	350.0766	-86.0185	-7.2360	349.9814	-83.8250	-5.0483	350.1829	-84.7987	-2.0481	345.2756	-85.1914	-6.4514	345.0841	-87.0753	-3.9032	344.8474
696_29	-88.2671	-4.2057	347.6565	-88.5221	-8.2015	346.1600	-86.3717	-6.4100	347.3440	-87.1846	-2.3979	343.6100	-87.4431	-6.4463	342.1462	-89.4701	-4.0993	342.5605
696_30	-85.3514	-8.4688	344.7256	-85.9444	-4.4805	346.3398	-87.6299	-6.5245	344.9167	-84.3225	-6.8685	340.6150	-84.9773	-2.9282	342.2398	-82.6804	-4.9449	342.0041
