ID	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
2005.27.152	-81.8708	21.7430	344.6986	-88.2933	25.5408	352.3042	-86.6244	25.8237	349.0731	-81.1821	26.6491	348.2462
25273	-72.7545	8.7049	345.9211	-76.8187	15.3780	341.5385	-76.0318	13.5667	344.2249	-71.3205	13.6797	345.5594
50002	-79.6873	6.7299	329.0656	-75.1111	9.5669	330.6586	-77.1213	9.7867	330.6787	-79.8680	9.4705	332.1643
50003	-79.3133	-2.7232	347.0396	-83.1729	0.4425	348.0768	-81.5690	-0.4296	348.7378	-79.7549	0.2001	348.0536
582	-84.1595	0.8846	340.1959	-86.9308	5.4210	340.8546	-85.9481	3.2577	341.5938	-83.1661	3.1552	341.5126
671	-85.8544	-12.3010	396.9800	-83.9273	-15.1480	393.8872	-84.4320	-14.6823	395.6124	-86.2482	-14.1824	396.6071
673	-109.2827	4.5614	359.7150	-106.1984	6.9365	360.5482	-107.7638	6.7116	359.9362	-109.5136	6.3416	360.9533
677	-80.3271	10.2397	342.1962	-80.3439	9.2522	345.9170	-79.9229	9.1401	344.5010	-78.7928	9.7388	343.2535
684	-103.7025	-7.4755	321.2087	-102.5229	-10.1926	318.8099	-103.4693	-9.9422	320.1434	-104.9933	-9.1601	320.8519
685	-118.4082	10.5252	391.8228	-115.7385	15.3251	391.7852	-117.8494	13.8923	391.8997	-118.8287	12.8612	394.2309
686	-81.2486	1.0651	336.1089	-78.3148	4.1831	339.2369	-79.6137	3.4851	337.3478	-82.1981	3.4679	337.3483
689	-71.0930	-9.2360	284.2328	-73.8977	-13.3251	281.6308	-71.6244	-12.3106	282.1920	-70.2095	-12.8328	283.7462
690	-82.7222	-6.5796	234.8865	-83.2730	-11.1176	237.9554	-83.3523	-9.9140	235.3611	-81.7479	-9.6773	233.8132
692	-91.9478	0.5778	376.2542	-93.3204	3.9719	374.9086	-93.0516	3.2615	375.8298	-91.5023	2.6997	377.2355
696	-74.1038	-4.0447	286.8816	-76.7453	-6.7010	284.8350	-75.5645	-6.5705	285.1899	-74.1372	-7.0463	286.6732
697	-75.4986	-8.3941	339.7091	-79.0350	-4.9549	340.3954	-77.3607	-5.5167	341.2339	-75.0534	-5.6134	340.9310
702	-74.0825	-3.0369	285.1532	-76.5184	-5.2687	283.3280	-75.2022	-4.5682	283.5247	-73.6353	-5.2934	284.2906
706	-72.2540	-2.3752	287.5092	-74.1666	-4.6162	286.3274	-73.1091	-4.0681	286.2627	-71.5185	-4.1892	287.2584
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
