ID	x7	y7	z7	x8	y8	z8	x9	y9	z9	x10	y10	z10
2005.27.169.3	-76.2996	-8.2089	334.0503	-71.6981	-12.1765	331.8833	-74.6735	-9.3022	330.0532	-73.9163	-11.0560	336.0074
686_19	-86.5505	-0.4296	340.3421	-86.0002	-4.9757	337.5255	-84.0964	-2.0829	338.7779	-88.9731	-3.2964	339.5772
686_20	-87.6276	-0.1316	336.4165	-88.0195	-5.3958	335.3088	-85.4673	-2.4504	334.7942	-90.1915	-2.6868	337.1290
686_21	-86.7300	-3.3779	337.3612	-87.0539	-7.9152	334.4198	-84.5656	-5.1041	334.9232	-89.1519	-5.9633	337.1026
686_22	-87.1637	-8.9579	337.3889	-87.5873	-13.1952	333.4737	-85.1436	-10.5829	334.7526	-89.6360	-11.6670	336.4413
686_23	-89.4612	-12.7196	328.7155	-88.7423	-7.7304	331.6618	-91.6679	-10.3744	330.6621	-86.6695	-10.3704	329.6335
686_24	-84.6881	-12.3462	333.4637	-84.5805	-6.9969	334.9150	-86.9801	-9.7405	334.7055	-82.2824	-9.6521	333.2495
686_25	-79.8616	-10.0115	338.8329	-80.7214	-4.7378	340.2466	-82.4314	-7.7269	339.2481	-77.8872	-7.2273	339.6611
686_26	-88.9898	-12.2936	334.7513	-89.0259	-7.3325	337.0255	-91.2683	-9.9318	335.7608	-86.7226	-10.0781	335.8984
686_27	-85.0323	-6.9866	341.7639	-84.7935	-1.7895	342.5327	-87.2913	-4.4384	342.0272	-82.4268	-4.6246	342.3140
686_28	-85.2248	-9.3410	337.5398	-85.5456	-4.5947	338.9355	-87.5438	-6.8344	337.9634	-83.0522	-7.0149	338.8388
686_29	-86.9415	-6.0893	336.5695	-86.7939	-1.3931	338.4110	-89.0762	-3.8293	337.4601	-84.4972	-3.9550	337.5746
686_30	-81.9311	-4.6431	342.9792	-81.9233	-0.1274	344.6744	-84.0090	-2.7245	344.3098	-79.5814	-2.5516	343.6060
686_31	-81.8091	-2.0250	345.9644	-81.2891	-6.0657	343.5563	-79.2614	-3.7287	345.0397	-83.8760	-4.0206	345.0039
686_32	-83.5925	-4.2774	336.6661	-82.5739	-0.4915	338.8798	-84.9510	-2.8089	338.7322	-80.9866	-2.5001	336.7958
686_33	-85.0269	-3.7625	336.5456	-84.9638	-7.2225	333.8526	-82.6263	-5.4391	335.2450	-87.0681	-5.7036	335.3043
696_19	-77.9042	-15.7935	331.6369	-77.8562	-11.1858	331.3787	-75.5944	-13.7876	331.5241	-80.2500	-13.4727	331.4585
696_20	-80.1300	-11.2840	331.6696	-81.2508	-11.2159	327.3254	-79.0882	-9.6974	329.3182	-82.3390	-12.8256	329.8778
696_22	-80.3168	6.4357	322.4802	-79.8478	2.3212	320.1751	-82.3155	4.3887	321.6065	-77.7848	4.6532	321.2070
696_23	-68.6629	-12.0228	324.0340	-68.2673	-7.8060	326.3295	-69.7383	-9.3503	323.6307	-67.0438	-10.9920	326.8065
696_24	-85.0397	-11.9760	336.9637	-83.1748	-7.8987	335.3078	-85.0142	-10.5011	334.2835	-83.1114	-9.5513	338.2837
696_25	-79.6396	-6.4223	342.7238	-79.3801	-10.9723	343.5772	-81.8696	-8.3975	342.9409	-77.3652	-8.5184	343.4830
696_26	-87.2348	-9.8469	339.8703	-86.3156	-5.5296	341.3530	-88.9293	-7.6280	340.9979	-84.6615	-8.0716	340.0087
696_27	-87.7709	-2.4256	347.8300	-88.7798	-6.5955	346.4545	-86.0866	-4.9759	347.3569	-90.2183	-3.7827	346.9515
696_28	-84.7987	-2.0481	345.2756	-85.1914	-6.4514	345.0841	-82.8893	-4.2690	345.6476	-87.0753	-3.9032	344.8474
696_29	-87.1846	-2.3979	343.6100	-87.4431	-6.4463	342.1462	-85.3538	-4.4964	343.2281	-89.4701	-4.0993	342.5605
696_30	-84.3225	-6.8685	340.6150	-84.9773	-2.9282	342.2398	-86.5727	-5.1097	341.0602	-82.6804	-4.9449	342.0041
696_31	-82.7929	-7.4688	336.1891	-82.9190	-4.3803	338.4722	-84.8710	-6.2151	337.5553	-80.8695	-5.8000	337.0126
696_32	-86.4235	-9.0312	336.0858	-87.0508	-6.3912	338.6919	-88.5677	-7.5778	336.5883	-85.2007	-8.0672	338.4909
696_33	-87.0301	-7.8649	342.8823	-86.0785	-10.9482	340.8315	-84.8059	-9.1051	342.5175	-88.5334	-9.6898	341.5097
