ID	x1	y1	z1	x5	y5	z5	x6	y6	z6	x9	y9	z9
2005.27.458	-79.0061	1.6270	338.6704	-81.3480	-3.6422	341.2527	-79.2488	3.0087	338.2964	-84.5127	5.4441	335.8181
686_19	-85.5369	-4.0854	341.4651	-82.6454	-4.4603	342.5817	-85.5692	-3.9819	340.9871	-84.0964	-2.0829	338.7779
686_20	-86.5328	-3.4531	338.4229	-83.3032	-4.0027	338.9195	-86.7911	-3.2311	337.9746	-85.4673	-2.4504	334.7942
686_21	-85.5291	-7.0268	338.0801	-82.2954	-7.9652	338.5700	-85.7868	-6.6777	337.7041	-84.5656	-5.1041	334.9232
686_22	-86.2795	-12.8856	337.5998	-83.0439	-14.2025	337.7678	-86.4355	-12.7842	337.2829	-85.1436	-10.5829	334.7526
686_23	-88.7249	-11.8977	332.6798	-90.7626	-12.9208	335.1037	-88.7971	-11.5109	332.3380	-91.6679	-10.3744	330.6621
686_24	-83.6508	-10.4582	336.7242	-85.3408	-10.9892	339.6083	-83.7866	-10.1242	336.4018	-86.9801	-9.7405	334.7055
686_25	-80.3308	-7.9673	342.1616	-82.7452	-8.7336	344.1617	-80.3085	-7.8121	341.8560	-82.4314	-7.7269	339.2481
686_26	-88.8428	-10.9615	338.4668	-91.0562	-11.8715	340.6393	-88.8686	-10.5615	338.0738	-91.2683	-9.9318	335.7608
686_27	-85.0107	-4.7476	344.8711	-87.5288	-4.7534	346.8779	-85.0808	-4.6245	344.2971	-87.2913	-4.4384	342.0272
686_28	-85.8918	-7.8772	340.9955	-88.5577	-8.4466	342.4773	-85.6766	-7.6784	340.5684	-87.5438	-6.8344	337.9634
686_29	-86.9347	-4.6543	339.9561	-89.2060	-5.2888	341.9661	-86.8282	-4.3503	339.5311	-89.0762	-3.8293	337.4601
686_30	-81.3974	-3.3179	346.1221	-83.2350	-3.9010	348.5279	-81.4173	-2.9460	345.7205	-84.0090	-2.7245	344.3098
686_31	-81.5509	-5.0688	346.8690	-79.6289	-6.4839	348.3696	-81.5868	-4.7809	346.2109	-79.2614	-3.7287	345.0397
686_32	-82.1164	-3.7964	339.2218	-83.4670	-4.9000	341.7905	-82.5207	-3.2440	338.6871	-84.9510	-2.8089	338.7322
686_33	-84.7796	-6.5778	336.7559	-82.5385	-7.7795	338.1814	-84.8146	-6.4182	336.3010	-82.6263	-5.4391	335.2450
696_19	-77.8383	-13.6232	328.5636	-75.5752	-13.9734	326.3015	-77.9542	-13.8059	330.3036	-75.5944	-13.7876	331.5241
696_20	-78.8450	-13.3610	329.0784	-75.7826	-13.3172	328.3341	-79.1360	-12.8197	329.1198	-79.0882	-9.6974	329.3182
696_22	-80.4684	5.4985	318.7155	-82.9199	6.3608	316.8538	-80.2987	5.1988	319.1229	-82.3155	4.3887	321.6065
696_23	-70.7066	-10.7626	326.8303	-73.8068	-10.0587	326.9503	-70.2109	-10.3964	326.6113	-69.7383	-9.3503	323.6307
696_24	-86.4093	-8.4331	337.0535	-89.0168	-7.4381	335.4514	-85.9379	-8.4760	336.8262	-85.0142	-10.5011	334.2835
696_25	-79.4564	-9.2375	340.3969	-81.1945	-10.1687	337.8557	-79.5400	-9.2613	341.0494	-81.8696	-8.3975	342.9409
696_26	-86.2078	-8.3800	343.1959	-87.9681	-8.7783	345.9057	-86.2997	-8.0253	342.7421	-88.9293	-7.6280	340.9979
696_27	-88.5722	-5.4217	349.7102	-86.8273	-6.4262	352.0777	-88.5665	-5.2024	348.8789	-86.0866	-4.9759	347.3569
696_28	-85.5991	-4.4945	348.0129	-83.8250	-5.0483	350.1829	-85.2924	-4.2520	346.6939	-82.8893	-4.2690	345.6476
696_29	-87.8517	-5.2451	345.1892	-86.3717	-6.4100	347.3440	-87.7216	-5.2245	344.3165	-85.3538	-4.4964	343.2281
696_30	-85.2197	-5.8582	343.6896	-87.6299	-6.5245	344.9167	-85.0073	-5.4819	343.2567	-86.5727	-5.1097	341.0602
696_31	-82.4354	-7.4021	339.1159	-84.1338	-8.5595	340.9657	-82.6669	-6.9149	338.5945	-84.8710	-6.2151	337.5553
696_32	-87.6379	-9.0306	338.8408	-90.2796	-9.9200	339.3567	-87.3141	-8.5424	338.4097	-88.5677	-7.5778	336.5883
696_33	-87.0782	-10.8687	343.4374	-85.0363	-11.3350	345.1788	-86.7998	-10.4945	342.8318	-84.8059	-9.1051	342.5175
697_20	-80.8344	-7.0707	335.9586	-81.0268	-6.2634	332.9245	-80.9285	-7.0901	336.2952	-84.2937	-6.7214	336.5377
697_21	-81.2031	-2.1195	331.2299	-83.5704	-1.7015	329.0155	-81.3172	-2.3220	331.4027	-83.5810	-3.6796	333.3514
697_22	-83.7750	-5.4244	329.9116	-86.4721	-4.8451	328.3685	-83.6465	-5.6436	330.2300	-85.3822	-6.2671	332.9911
697_23	-76.3055	-8.9889	330.8190	-73.5529	-8.0371	329.4015	-76.4018	-9.0706	331.0295	-74.6184	-10.5914	333.3598
697_24	-75.5107	-2.6236	331.0580	-73.3474	-0.8352	329.5521	-75.5317	-2.6619	331.4032	-73.3437	-4.0793	333.2481
697_25	-78.7337	-7.3373	323.5083	-80.7743	-6.8871	320.9920	-78.6599	-7.3716	323.8038	-81.1860	-7.7712	325.9202
697_26	-77.5732	-5.4273	334.1426	-74.9378	-4.4780	332.7512	-77.5759	-5.3625	334.4017	-76.0762	-7.0613	336.5319
697_27	-76.2106	-3.5853	330.9473	-74.0540	-2.1303	329.0696	-76.2037	-3.6145	331.2285	-73.7197	-4.5505	333.1861
697_28	-78.2424	-6.6851	333.9689	-80.7221	-6.4015	332.0309	-78.1278	-6.8629	334.3615	-79.7442	-8.1511	336.5235
697_29	-78.8369	-6.6036	334.9895	-76.5180	-5.6941	332.9148	-78.6247	-6.7427	335.3997	-76.4967	-7.8515	337.3441
697_30	-74.3110	-4.9119	335.2043	-72.0028	-3.8259	333.7586	-74.4488	-4.8962	335.5191	-72.5743	-5.5250	337.9591
697_31	-79.5630	-4.8099	336.1849	-78.0857	-3.8379	333.7310	-79.5570	-4.8250	336.5397	-76.9288	-5.2942	337.6933
697_32	-79.9481	-4.1555	334.5048	-81.6264	-4.0820	332.2192	-80.0269	-4.3781	334.8572	-82.3046	-4.8753	336.2538
