ID	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4	x5	y5	z5	x6	y6	z6
2007.46.3104	-82.4807	7.2360	331.3896	-80.3622	6.1467	338.4212	-80.3347	4.1818	339.9285	-80.4827	-1.0834	339.7438	-80.1567	3.4528	330.7378	-86.1175	4.0192	333.3399
25273	-78.4956	-12.6493	330.2284	-87.0134	-13.8903	330.6484	-88.4356	-12.6364	331.4226	-90.6055	-9.2969	335.9465	-82.3980	-13.9726	334.8160	-82.3422	-7.9829	329.9281
50002	-75.0631	-7.0222	333.8060	-76.8683	-7.7787	328.5208	-78.1228	-5.5008	325.4136	-79.9882	-1.3160	325.9970	-79.2166	-6.0698	331.1890	-74.2688	-3.5127	330.5096
50003	-86.1350	-21.8127	338.6697	-83.6440	-23.1903	333.4673	-82.4054	-21.9162	332.0565	-80.6667	-15.4855	330.5153	-86.9138	-18.7322	335.6421	-81.3323	-19.6540	338.2535
582	-81.3961	-19.1863	324.9522	-80.2384	-21.9849	329.4925	-79.5008	-21.3237	331.3306	-80.6093	-17.6408	334.3007	-83.5060	-17.8492	327.8248	-78.0977	-17.6090	327.5423
671	-85.2012	2.9912	389.5740	-84.6526	2.9823	393.3870	-84.8219	0.8415	396.3101	-85.6229	-4.4701	396.3607	-83.6739	-0.0308	390.0950	-88.6533	0.5239	391.6622
673	-104.5720	-15.9170	356.4616	-101.7941	-17.2735	358.7225	-99.7137	-16.5430	360.1446	-99.6598	-12.2299	363.0997	-104.4960	-15.2766	360.3419	-101.6164	-13.0785	356.6813
677	-88.2285	-5.9787	330.2655	-90.1172	-8.6368	335.2157	-89.6797	-8.0258	336.7205	-90.3773	-4.4724	339.1497	-90.5038	-4.1523	332.0905	-86.3389	-5.4792	333.9415
684	-101.8789	-14.3717	330.5568	-104.9145	-13.5324	326.3047	-105.4823	-12.6384	326.3114	-105.6745	-7.9912	327.1416	-101.3773	-11.3266	328.7746	-105.9482	-13.6474	330.1709
685	-113.3184	-3.8633	383.7400	-108.7976	-7.0536	385.8825	-108.0792	-6.5088	386.8295	-107.2266	-2.8981	390.5063	-113.7323	-4.0250	387.2455	-110.5628	-1.2502	384.0331
686	-83.2346	-17.6608	333.3103	-83.7114	-21.0028	337.5470	-83.5781	-21.0624	339.4903	-84.3600	-17.5406	342.6047	-85.8160	-16.2063	336.2766	-80.5785	-17.0144	336.8991
689	-75.6855	-16.9776	295.9638	-73.2097	-18.7218	292.5200	-70.5648	-17.4085	290.8890	-69.2475	-13.2307	290.1264	-74.8464	-15.0666	292.2780	-71.2672	-15.9022	295.4423
690	-74.8862	-7.5594	233.1689	-80.7629	-8.6362	230.6413	-81.8725	-7.6571	230.8512	-84.1554	-2.8588	230.8392	-75.6742	-4.7674	231.0378	-78.1565	-5.7609	235.4926
692	-86.7463	-7.4719	360.5815	-85.2679	-10.7224	363.7185	-84.3769	-10.5712	364.9641	-84.0621	-8.3832	367.8899	-87.6612	-7.4585	363.5473	-83.8639	-6.5755	362.1318
696	-82.7388	-17.6489	329.8439	-82.3918	-17.2363	326.1672	-81.7319	-15.3505	324.2458	-81.7301	-11.7000	324.6622	-83.9820	-15.3819	328.1937	-79.8104	-15.5133	328.9403
697	-81.0904	-17.5544	319.2127	-83.1756	-21.0190	322.7428	-83.1167	-20.8989	323.7827	-84.4659	-17.6361	326.4706	-83.5096	-16.9758	321.0848	-80.0084	-17.0649	322.3678
702	-84.5171	-4.5041	343.4314	-82.8817	-1.7441	342.4337	-82.5315	-0.4984	340.8308	-82.6447	-1.4822	337.3757	-82.4284	-4.5404	341.1952	-85.7781	-2.3523	340.9507
706	-75.3507	2.7996	339.5294	-77.3352	2.5710	341.2925	-77.8201	1.8842	341.9299	-78.4237	-0.7683	341.7851	-76.7126	1.0312	339.2011	-74.8396	1.0141	341.4274
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
