ID	x1	y1	z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
2007.46.4008	-83.4174	29.3206	347.4639	-82.9933	21.2120	341.6375	-80.0907	7.2478	344.0783	-82.1811	10.3869	333.3635
25273	-67.3337	7.5862	373.7725	-69.0069	6.1386	364.5530	-75.9660	15.9710	355.3918	-71.6582	6.6033	354.7985
50002	-83.2217	8.1342	304.3499	-80.2497	8.6417	311.4243	-81.1765	4.7757	320.9770	-76.8979	9.6099	319.4023
50003	-79.8910	-31.9977	352.3029	-79.7368	-26.7000	349.5566	-84.9253	-18.6851	350.1468	-79.7454	-20.7304	347.1722
582	-75.8081	24.3590	327.3700	-77.5155	18.8533	329.8195	-84.4569	11.0225	325.9350	-79.0241	12.7695	331.0472
671	-72.3653	-14.9996	412.7749	-75.2337	-12.1459	410.1370	-80.9541	-12.7120	402.2211	-80.3166	-8.8992	407.2433
673	-115.8404	10.0520	349.7668	-114.0899	7.8046	353.6372	-115.0849	-1.2241	358.1281	-111.3849	4.1092	357.5858
677	-83.3622	20.0463	343.1981	-83.9870	16.0505	341.7264	-90.0658	10.6282	337.5703	-84.0692	11.3594	339.8166
684	-101.5556	-10.0403	340.5970	-101.1317	-7.8387	337.5281	-98.4490	-6.4343	328.3555	-101.5584	-5.1569	333.7620
685	-142.1653	1.8009	388.3572	-137.8728	4.9407	389.8743	-129.9966	5.7628	396.1203	-132.9240	10.3539	393.4212
686	-84.4323	12.8172	347.8693	-85.0267	8.9746	342.5888	-80.5196	5.1359	335.7846	-85.0321	6.7238	337.2481
689	-73.5404	19.5547	295.3430	-73.5106	13.8001	293.8094	-71.8398	8.3881	287.1494	-75.6261	4.2108	292.3259
690	-102.9715	-18.9783	251.8234	-100.1226	-14.6936	250.9680	-91.4470	-10.4112	249.1241	-95.8391	-6.3128	250.4890
692	-94.2767	-31.5532	379.0364	-94.5086	-27.5719	375.8007	-97.9726	-20.7512	374.1015	-93.1875	-22.2319	370.5831
696	-59.1209	-16.0037	340.6553	-63.0786	-15.0470	337.4413	-70.7732	-15.5417	337.2160	-68.4139	-14.1760	332.7399
697	-72.0271	9.4990	339.8838	-74.3486	4.7271	336.7894	-72.8221	1.9032	329.6662	-77.9219	0.9181	331.6225
702	-77.3341	2.5509	352.5003	-78.1540	-0.0036	349.1294	-75.6983	-1.3782	343.6270	-79.2980	-1.3509	344.7582
706	-71.0835	-22.2325	341.4385	-73.0131	-19.1353	340.5006	-74.7663	-14.8104	342.3633	-76.7401	-15.6577	338.2354
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
