ID	x1	y1	z1	x2	y2	z2	x3	y3	z3
205.27.167	-74.2064	2.5002	342.2974	-73.2594	-4.4757	346.3295	-70.8774	-1.9051	335.9814
686_19	-84.4379	-7.5262	341.6902	-87.3026	-6.1207	343.4161	-82.6454	-4.4603	342.5817
686_20	-85.7277	-6.7385	339.6998	-87.6209	-4.1918	341.3113	-83.3032	-4.0027	338.9195
686_21	-84.8590	-10.6272	338.1483	-86.8510	-8.8121	340.5232	-82.2954	-7.9652	338.5700
686_22	-85.8389	-16.7911	336.7725	-87.6371	-14.9893	339.6324	-83.0439	-14.2025	337.7678
686_23	-87.9260	-10.5413	336.0739	-85.8831	-12.9657	334.0500	-90.7626	-12.9208	335.1037
686_24	-82.8076	-7.8769	339.4608	-80.7016	-10.7002	338.0053	-85.3408	-10.9892	339.6083
686_25	-80.9349	-5.7196	345.1435	-78.1086	-8.2120	344.4119	-82.7452	-8.7336	344.1617
686_26	-88.7522	-9.0321	341.7094	-86.5724	-11.8812	340.4576	-91.0562	-11.8715	340.6393
686_27	-85.1239	-2.0574	347.4751	-82.9292	-4.9374	347.2741	-87.5288	-4.7534	346.8779
686_28	-86.3257	-5.9776	343.9593	-84.0621	-8.5257	343.7158	-88.5577	-8.4466	342.4773
686_29	-86.9671	-2.7619	342.8127	-84.5385	-5.2781	342.1765	-89.2060	-5.2888	341.9661
686_30	-81.1352	-1.1915	349.0937	-78.7665	-3.6599	347.9368	-83.2350	-3.9010	348.5279
686_31	-81.4102	-8.5962	346.7057	-83.8668	-6.6341	348.1146	-79.6289	-6.4839	348.3696
686_32	-80.6860	-2.5778	341.8481	-79.3676	-4.6334	339.5962	-83.4670	-4.9000	341.7905
686_33	-84.6953	-9.5843	336.6620	-87.0098	-8.0370	338.0253	-82.5385	-7.7795	338.1814
696_19	-77.7669	-11.3518	326.2031	-80.0980	-13.9304	326.2949	-75.5752	-13.9734	326.3015
696_20	-77.9231	-14.9002	326.5043	-78.9954	-16.3853	329.1203	-75.7826	-13.3172	328.3341
696_22	-80.6482	4.3591	315.5720	-78.3802	6.6904	316.5924	-82.9199	6.3608	316.8538
696_23	-72.1884	-8.7097	329.4543	-71.0779	-11.8229	329.6876	-73.8068	-10.0587	326.9503
696_24	-87.1915	-5.0533	336.7596	-87.4083	-6.8841	339.5793	-89.0168	-7.4381	335.4514
696_25	-79.1143	-12.5240	338.6155	-76.9386	-9.6993	338.6123	-81.1945	-10.1687	337.8557
696_26	-85.1686	-6.7425	346.1627	-83.6325	-9.4384	344.7525	-87.9681	-8.7783	345.9057
696_27	-89.7082	-8.1533	350.9991	-91.2467	-5.3274	351.6715	-86.8273	-6.4262	352.0777
696_28	-86.0185	-7.2360	349.9814	-88.0083	-4.5354	349.4388	-83.8250	-5.0483	350.1829
696_29	-88.5221	-8.2015	346.1600	-90.4826	-5.8115	346.3837	-86.3717	-6.4100	347.3440
696_30	-85.9444	-4.4805	346.3398	-83.5801	-6.5895	345.7748	-87.6299	-6.5245	344.9167
696_31	-82.1289	-6.9533	341.9321	-80.0997	-8.3529	340.2859	-84.1338	-8.5595	340.9657
696_32	-88.7014	-8.4545	341.4614	-86.5030	-10.5931	340.8887	-90.2796	-9.9200	339.3567
696_33	-86.4358	-13.4256	343.7201	-88.8115	-12.1279	344.4709	-85.0363	-11.3350	345.1788
697_20	-79.7235	-9.1919	333.6461	-77.6315	-6.7976	335.6293	-81.0268	-6.2634	332.9245
697_21	-80.8085	-3.1572	327.7786	-79.1381	-0.5667	329.3943	-83.5704	-1.7015	329.0155
697_22	-84.2050	-6.8562	326.6491	-82.2558	-4.1236	327.3426	-86.4721	-4.8451	328.3685
697_23	-76.1628	-5.6102	330.2241	-77.7640	-8.0063	328.2129	-73.5529	-8.0371	329.4015
697_24	-76.1689	1.0168	331.0144	-77.6761	-1.3291	329.0384	-73.3474	-0.8352	329.5521
697_25	-78.7410	-9.5479	320.6587	-76.2990	-6.8040	321.3235	-80.7743	-6.8871	320.9920
697_26	-77.0959	-2.0959	333.3162	-78.9910	-4.4925	331.6585	-74.9378	-4.4780	332.7512
697_27	-76.7885	-0.0259	330.5205	-78.3936	-2.6987	328.8376	-74.0540	-2.1303	329.0696
697_28	-77.9221	-8.2127	330.8707	-76.5045	-4.9947	332.0604	-80.7221	-6.4015	332.0309
697_29	-78.6067	-3.4524	334.0090	-80.7068	-5.8510	332.8697	-76.5180	-5.6941	332.9148
697_30	-74.8205	-1.7091	333.7779	-76.1409	-4.4655	332.9162	-72.0028	-3.8259	333.7586
697_31	-80.5544	-1.6209	334.8900	-82.1476	-4.2802	334.7190	-78.0857	-3.8379	333.7310
697_32	-79.2320	-6.1487	331.8743	-77.5593	-3.7969	332.9290	-81.6264	-4.0820	332.2192
697_33	-76.7397	-1.7072	329.9935	-75.2508	0.9428	331.4948	-78.9911	-0.1853	330.7473
702_19	-90.5058	10.1980	335.9117	-91.1606	13.0173	334.9259	-89.9379	11.6052	338.4275
702_20	-78.7898	11.1537	339.8293	-80.2966	13.0422	341.7291	-77.1663	13.4233	339.5797
702_21	-87.4477	6.3971	345.1292	-89.7522	6.1103	346.7351	-86.7908	8.6784	346.7761
702_22	-74.6990	11.6365	337.1867	-73.4438	10.2318	334.9109	-74.7246	8.7465	338.4271
702_23	-76.5814	12.0794	337.8428	-74.8363	10.3823	335.5335	-76.3909	9.0151	339.0306
702_24	-76.1108	11.5719	337.0882	-75.0741	9.8671	334.4860	-76.4878	8.6348	338.1379
702_25	-79.2586	8.3260	329.0312	-78.0738	10.0610	331.3077	-79.7514	11.2661	327.9239
702_26	-78.2370	11.2719	337.4768	-77.0250	9.4129	335.2028	-78.9487	8.3528	338.6371
702_27	-75.4359	13.4463	335.9850	-74.3817	11.7426	333.5098	-75.4736	10.3962	337.0043
702_28	-77.8694	13.6855	333.8191	-77.5036	12.3901	331.1781	-78.4488	10.8098	334.7483
702_29	-77.8706	14.3180	332.1176	-78.1295	12.8676	329.7744	-77.9263	11.5056	333.2945
702_30	-80.3612	6.6538	334.7363	-81.0594	7.7863	337.0160	-78.5567	8.4255	334.1657
702_31	-78.2289	-5.0434	340.6243	-79.2490	-3.1038	342.4278	-77.5414	-2.7154	339.0418
702_32	-78.7910	-6.6603	339.3605	-79.9825	-5.0980	341.4836	-76.5852	-4.6466	339.6963
702_33	-84.2465	-2.4487	332.8485	-84.8892	-0.9323	335.1938	-83.1049	0.0095	332.2322
