Location	Date	Species	TL	Weight
Elephant_Butte	10/27/2014	Buffalo	147	40
Elephant_Butte	10/27/2014	Buffalo	153	50
Elephant_Butte	10/27/2014	Buffalo	155	55
Elephant_Butte	10/27/2014	Buffalo	164	50
Caballo_Lake	11/28/2017	Buffalo	200	127
Caballo_Lake	11/28/2017	Buffalo	218	172
Elephant_Butte	10/27/2014	Buffalo	222	NA
Caballo_Lake	11/28/2017	Buffalo	223	172
Caballo_Lake	11/28/2017	Buffalo	224	174
Elephant_Butte	11/8/2011	Buffalo	232	190
Caballo_Lake	11/28/2017	Buffalo	235	198
Caballo_Lake	11/28/2017	Buffalo	245	230
Elephant_Butte	11/8/2011	Buffalo	293	374
Elephant_Butte	11/8/2011	River_Carpsucker	346	678
Elephant_Butte	11/8/2011	Buffalo	384	750
Caballo_Lake	11/28/2017	Buffalo	388	809
Elephant_Butte	11/8/2011	Buffalo	401	816
Elephant_Butte	11/8/2011	Buffalo	417	2064
Caballo_Lake	11/28/2017	Buffalo	425	1032
Elephant_Butte	11/8/2011	Buffalo	435	1139
Elephant_Butte	11/8/2011	Buffalo	440	1172
Elephant_Butte	11/8/2011	Buffalo	442	1151
Elephant_Butte	11/8/2011	Buffalo	452	2485
Elephant_Butte	11/8/2011	Buffalo	453	1814
Elephant_Butte	11/8/2011	Buffalo	461	1631
Elephant_Butte	11/8/2011	Buffalo	461	1464
Elephant_Butte	11/8/2011	Buffalo	462	1398
Caballo_Lake	11/28/2017	Buffalo	465	1320
Elephant_Butte	11/8/2011	Buffalo	465	1680
Elephant_Butte	11/8/2011	Buffalo	468	1520
Elephant_Butte	11/8/2011	Buffalo	469	1700
Elephant_Butte	11/8/2011	Buffalo	472	1770
Elephant_Butte	11/8/2011	Buffalo	473	1690
Elephant_Butte	11/8/2011	Buffalo	478	1662
Elephant_Butte	11/8/2011	Buffalo	480	1619
Elephant_Butte	11/8/2011	Buffalo	482	1680
Elephant_Butte	11/8/2011	Buffalo	482	1750
Caballo_Lake	11/28/2017	Buffalo	485	1494
Elephant_Butte	11/8/2011	Buffalo	486	1638
Elephant_Butte	10/27/2014	Buffalo	487	1697
Elephant_Butte	11/8/2011	Buffalo	487	1728
Elephant_Butte	10/27/2014	Buffalo	488	1860
Elephant_Butte	10/27/2014	Buffalo	490	1520
Elephant_Butte	11/8/2011	Buffalo	490	1890
Elephant_Butte	11/8/2011	Buffalo	490	1910
Elephant_Butte	11/8/2011	Buffalo	494	1988
Elephant_Butte	11/8/2011	Buffalo	494	1773
Elephant_Butte	11/8/2011	Buffalo	495	1880
Elephant_Butte	11/8/2011	Buffalo	495	2070
Elephant_Butte	11/8/2011	Buffalo	495	1619
Elephant_Butte	11/8/2011	Buffalo	496	2070
Elephant_Butte	11/8/2011	Buffalo	496	1740
Elephant_Butte	10/27/2014	Buffalo	498	1840
Elephant_Butte	11/8/2011	Buffalo	498	1990
Elephant_Butte	11/8/2011	Buffalo	498	1920
Elephant_Butte	10/27/2014	Buffalo	502	1700
Elephant_Butte	11/8/2011	Buffalo	502	1856
Elephant_Butte	10/27/2014	Buffalo	503	1630
Elephant_Butte	11/8/2011	Buffalo	503	1991
Elephant_Butte	11/8/2011	Buffalo	505	1930
Elephant_Butte	11/8/2011	Buffalo	505	1932
Elephant_Butte	10/27/2014	Buffalo	507	2870
Elephant_Butte	11/8/2011	Buffalo	507	2020
