Time	Site	Taxon	NISP	Source
Classic	Valencia_Pueblo	Artios	131	Brown_and_Brown_1997
Classic	Valencia_Pueblo	Rabbits	2181	Brown_and_Brown_1997
Classic	Valencia_Pueblo	Turkeys	86	Brown_and_Brown_1997
Classic	Valencia_Pueblo	Fishes	1051	Brown_and_Brown_1997
Classic	Valencia_Pueblo	Raptors	9	Brown_and_Brown_1997
Classic	Valencia_Pueblo	Passerines	10	Brown_and_Brown_1997
Classic	Valencia_Pueblo	Rodents	215	Brown_and_Brown_1997
Classic	San_Antonio_de_Padua	Artios	1643	Akins_2004
Classic	San_Antonio_de_Padua	Rabbits	746	Akins_2004
Classic	San_Antonio_de_Padua	Turkeys	84	Akins_2004
Classic	San_Antonio_de_Padua	Fishes	0	Akins_2004
Classic	San_Antonio_de_Padua	Raptors	22	Akins_2004
Classic	San_Antonio_de_Padua	Passerines	19	Akins_2004
Classic	San_Antonio_de_Padua	Rodents	147	Akins_2004
Classic	Artificial_Leg	Artios	2	Akins_1987
Classic	Artificial_Leg	Rabbits	334	Akins_1987
Classic	Artificial_Leg	Turkeys	2	Akins_1987
Classic	Artificial_Leg	Fishes	6	Akins_1987
Classic	Artificial_Leg	Raptors	6	Akins_1987
Classic	Artificial_Leg	Passerines	0	Akins_1987
Classic	Artificial_Leg	Rodents	10	Akins_1987
Classic	Belen_Bridge	Artios	116	Akins_1995
Classic	Belen_Bridge	Rabbits	653	Akins_1995
Classic	Belen_Bridge	Turkeys	18	Akins_1995
Classic	Belen_Bridge	Fishes	26	Akins_1995
Classic	Belen_Bridge	Raptors	1	Akins_1995
Classic	Belen_Bridge	Passerines	9	Akins_1995
Classic	Belen_Bridge	Rodents	136	Akins_1995
Classic	Qualacu	Artios	23	James_1987
Classic	Qualacu	Rabbits	347	James_1987
Classic	Qualacu	Turkeys	1	James_1987
Classic	Qualacu	Fishes	99	James_1987
Classic	Qualacu	Raptors	1	James_1987
Classic	Qualacu	Passerines	0	James_1987
Classic	Qualacu	Rodents	36	James_1987
Classic	Alameda	Artios	96	Cordero_2013
Classic	Alameda	Rabbits	362	Cordero_2013
Classic	Alameda	Turkeys	57	Cordero_2013
Classic	Alameda	Fishes	12	Cordero_2013
Classic	Alameda	Raptors	33	Cordero_2013
Classic	Alameda	Passerines	17	Cordero_2013
Classic	Alameda	Rodents	63	Cordero_2013
Classic	Pottery_Mound	Artios	201	Clark_2007
Classic	Pottery_Mound	Rabbits	4475	Clark_2007
Classic	Pottery_Mound	Turkeys	421	Clark_2007
Classic	Pottery_Mound	Fishes	39	Clark_2007
Classic	Pottery_Mound	Raptors	29	Clark_2007
Classic	Pottery_Mound	Passerines	34	Clark_2007
Classic	Pottery_Mound	Rodents	361	Clark_2007
Classic	Montano_Pueblo_Complex	Artios	26	Duncan_2010
Classic	Montano_Pueblo_Complex	Rabbits	381	Duncan_2010
Classic	Montano_Pueblo_Complex	Turkeys	12	Duncan_2010
Classic	Montano_Pueblo_Complex	Fishes	2	Duncan_2010
Classic	Montano_Pueblo_Complex	Raptors	20	Duncan_2010
Classic	Montano_Pueblo_Complex	Passerines	32	Duncan_2010
Classic	Montano_Pueblo_Complex	Rodents	42	Duncan_2010
Developmental	Coors_Rd	Artios	33	Akins_1994
Developmental	Coors_Rd	Rabbits	194	Akins_1994
