ID	Width
686_19	5.088010
686_20	5.112207
686_21	5.122228
686_22	5.208704
686_23	5.123776
686_24	5.203888
686_25	4.936517
686_26	5.084023
686_27	4.992666
686_28	5.051978
686_29	4.980310
686_30	4.910327
686_31	4.873564
686_32	4.949148
686_33	4.752583
696_19	4.683928
696_20	4.691508
696_22	4.924210
696_23	4.863745
696_24	4.808478
696_25	4.830791
696_26	4.857835
696_27	4.701458
696_28	4.588779
696_29	4.647465
696_30	4.454740
696_31	4.592021
696_32	4.502558
696_33	4.250599
697_20	4.832839
697_21	4.803921
697_22	4.862345
697_23	4.585204
697_24	4.650397
697_25	4.775354
697_26	4.660324
697_27	4.767179
697_28	4.601820
697_29	4.401096
697_30	4.456442
697_31	4.244827
697_32	4.468101
697_33	4.303938
702_19	4.175437
702_20	4.170056
702_21	4.444829
702_22	4.219053
702_23	4.240683
702_24	4.268108
702_25	4.163506
702_26	4.087559
702_27	4.036921
702_28	4.033122
702_29	4.025733
702_30	4.029783
702_31	3.919637
702_32	3.969110
702_33	3.893997
706_17	3.400365
706_18	3.389828
706_19	3.533689
706_20	3.254957
706_21	3.469183
706_22	3.300156
582_19	6.489367
582_20	6.571880
582_21	6.583321
582_22	6.425532
582_23	6.488096
582_24	6.363404
582_25	5.973588
582_26	6.011295
582_27	6.094041
582_28	5.864480
582_29	5.855295
582_30	5.893947
582_31	5.668386
582_32	5.508591
582_33	5.305801
677_19	5.327661
677_20	5.188237
677_21	5.224941
677_22	5.203093
677_23	5.053770
677_24	5.338851
677_25	4.913219
677_26	5.079792
677_27	4.746615
677_28	4.954584
677_29	4.822497
677_30	4.815694
677_31	4.927491
677_32	4.574490
677_33	4.529438
684_17	4.826013
684_19	4.767134
684_20	4.780286
684_21	4.931091
684_22	4.474762
684_24	4.626669
684_25	4.343482
684_26	4.394529
684_27	4.646116
684_29	4.324638
684_30	4.251333
25273_10	10.363263
25273_11	9.793240
25273_12	9.994627
25273_13	9.627427
25273_14	9.578190
25273_15	9.413949
25273_16	8.906919
25273_17	9.373982
25273_18	8.712159
25273_19	9.008925
25273_20	8.573383
25273_21	8.216943
50002_10	7.170981
50002_11	7.124790
50002_12	7.035107
50002_13	6.707966
50002_14	6.381183
50002_15	6.670429
50002_16	6.639762
50002_17	6.185009
50002_5	7.443911
50002_6	7.663844
50002_7	7.642007
50002_8	7.182634
50002_9	7.535028
50003_17	6.462833
50003_18	6.187550
50003_19	6.210047
50003_20	6.416018
50003_21	6.303414
50003_22	6.330719
50003_23	6.036189
50003_24	5.624981
50003_25	5.613329
50003_26	5.504942
685_20	5.160097
685_21	5.588465
685_22	5.855393
685_23	5.770565
685_24	5.567847
685_25	5.686743
685_26	5.753859
685_27	5.417158
685_28	5.588626
685_29	5.344258
685_30	5.236468
685_31	5.197907
685_32	5.167609
685_33	5.134909
689_20	5.892820
689_21	6.026103
689_22	5.769557
689_23	5.911355
689_24	6.011497
689_25	5.925915
689_26	5.729014
689_27	5.715308
689_28	5.637635
689_29	5.412700
689_30	5.357624
689_32	5.276793
689_33	5.477058
692_21	4.515018
692_22	4.244668
692_23	4.320465
692_24	4.525264
692_25	4.419547
692_26	4.518021
692_27	4.329219
692_28	4.205637
692_29	4.243788
692_30	4.115745
692_32	4.062653
692_33	4.222634
690_21	5.656845
690_22	5.966099
690_23	5.781674
690_24	5.813474
690_25	5.732148
690_26	5.613672
690_27	5.566000
690_28	5.767169
690_29	5.516982
690_31	5.377780
690_33	5.489932
671_20	5.972657
671_21	5.966096
671_22	5.983658
671_23	6.296922
671_24	5.842948
671_25	6.116078
671_26	5.819972
671_27	5.909004
671_28	5.839412
671_29	5.708757
671_30	5.721123
671_31	5.594596
671_32	5.536706
671_33	5.574395
671_34	5.509678
673_21	5.409959
673_22	5.414260
673_23	5.435287
673_24	5.319479
673_25	5.017283
673_28	5.247457
673_29	5.136786
673_30	5.050073
673_32	5.084153
673_33	4.933180
